Hello!	Hi! How are you?
work jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs work jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs work jobs jobs jobs jobs jobs jobs work jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs	Ya jobs
Ya jobs	what jobs do you work at ?
what jobs do you work at ?	Computer operator at agriculture Department
Computer operator at agriculture Department	that sounds like a lot of fun
that sounds like a lot of fun	No
No	oh okay . you have any pets ?
oh okay . you have any pets ?	No i have no pets
No i have no pets	i have a cat named radar
i have a cat named radar	Wow great
Wow great	what do you do for a living ?
what do you do for a living ?	Study and work
Study and work	what do you do for work ?
Who doesn't love food	I love food. Especially fried chicken. What else do you like?
I love food. Especially fried chicken. What else do you like?	I love mutton
I love mutton	That sounds delicious. Do you like music?
That sounds delicious. Do you like music?	Pretty muvh
Pretty muvh	I like old music, especially the backstreet boys.
I like old music, especially the backstreet boys.	Nope, I have a different taste I think
Nope, I have a different taste I think	I agree. I was raised in a very young age. 
I agree. I was raised in a very young age. 	Right
Right	I am a kindergarten teacher and I love kids. Why do you not like weddings?
I am a kindergarten teacher and I love kids. Why do you not like weddings?	How do you know?
How do you know?	
	Answer me?
Answer me?	Because I am from a very young age.
Because I am from a very young age.	Oh fuck
Oh fuck	Because my favorite band is the backstreet boys 
Because my favorite band is the backstreet boys 	What's the connection?
What's the connection?	They're the best. I love them.
They're the best. I love them.	You know what?
You know what?	Yes!
Yes!	You are an idiot!
You are an idiot!	Yes, a lot of them are.
Yes, a lot of them are.	But you are the biggest one
But you are the biggest one	I know, I know. I'm 4 3. What are your hobbies? 
I know, I know. I'm 4 3. What are your hobbies? 	Fucking girls
Fucking girls	Hahn that is funny. I love girls. How old are you?
Hahn that is funny. I love girls. How old are you?	22
22	Hahn that is a good one. I like to dance.
Hahn that is a good one. I like to dance.	Are you gay?
Are you gay?	No, I am not. Do you have any kids? 
No, I am not. Do you have any kids? 	Yes I have a soccer team
Yes I have a soccer team	Oh that is cool. How long have you been married?
Oh that is cool. How long have you been married?	2 years
2 years	Oh wow, that is a long time.
Oh wow, that is a long time.	Nope
Nope	Do you like music?
Do you like music?	Do you like sex?
Do you like sex?	Yes, I do. I love to listen to music. Where do you currently live?
Yes, I do. I love to listen to music. Where do you currently live?	Fucker nowas
Fucker nowas	Oh, I see. Haha. 
Oh, I see. Haha. 	That's funny?
That's funny?	I'm not sure what that means.
Okay	hi, how are you doing? i'm good. 
hi, how are you doing? i'm good. 	Fine
Fine	do you like to rollercoaster? i love it. 
Hie	Hi how are you today
Hi how are you today	M good
M good	What do you do for work?
What do you do for work?	I dont work
I dont work	What city are you from?
What city are you from?	Alaska
Alaska	Do you have any hobbies?
Do you have any hobbies?	I love to meditate
I love to meditate	I like to play football. 
I like to play football. 	Wat bout u ?
Wat bout u ?	I enjoy that
I enjoy that	Ohh good
Ohh good	Is that a TV show?
Is that a TV show?	What ?
What ?	Yeah it is. do you have kids? 
Yeah it is. do you have kids? 	Nope
Nope	Oh okay. What do you do for work?
Oh okay. What do you do for work?	Mad or wat ?
Mad or wat ?	I work for IBM. What about you?
Okk	hi how are you doing today? i am doing well. 
hi how are you doing today? i am doing well. 	Wat about u
Hi	Hey
Hey	hey how are you ?
hey how are you ?	Wassup
Wassup	how are you ?
how are you ?	Im good
Im good	what do you do for a living ?
what do you do for a living ?	Im a gym trainer
Im a gym trainer	do you have any hobbies ?
do you have any hobbies ?	Wbu
Wbu	do you have any hobbies ?
5	Hi, how are you today?
Hi, how are you today?	Fyn
Fyn	Hi, I'm good. I'm a nurse.
Hi, I'm good. I'm a nurse.	Which nurse
Hi	Hlw
Hlw	i love to read
i love to read	What
What	i love to cook
i love to cook	What
What	i love to cook
i love to cook	Why r u
Why r u	because i am a vegan
because i am a vegan	Oookkk
Oookkk	i love to read
i love to read	Ok
Ok	what do you do for a living ?
what do you do for a living ?	Yes
Yes	what do you do for a living ?
what do you do for a living ?	Yes
Yes	what do you do for a living ?
what do you do for a living ?	Chip
Chip	chip chip chip chip chip chip
Hmm	End
Hi	hii
hii	how are you ?
how are you ?	fine
fine	what do you do for a living ?
what do you do for a living ?	nothing... i m a student
nothing... i m a student	what are you studying ?
what are you studying ?	bcom
bcom	i love to read
i love to read	okay
okay	what do you do for a living ?
what do you do for a living ?	nothing
nothing	what do you do for a living ?
Hi	Hi
Hi	hello , how are you ?
hello , how are you ?	Ya fine
Ya fine	what do you do for a living ?
what do you do for a living ?	Some job
Some job	what jobs do you do ?
what jobs do you do ?	Pharmacy
Pharmacy	that is a good one .
that is a good one .	Thanks
Thanks	do you have any hobbies ?
do you have any hobbies ?	Cricket
Cricket	i played football football team team team team team team team team team team team team team team team team team team team
i played football football team team team team team team team team team team team team team team team team team team team	Kk nice
Kk nice	what do you do for a living ?
what do you do for a living ?	Job
Job	jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs
jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs	Not so many jobs only job
Not so many jobs only job	what do you do for work ?
what do you do for work ?	Q.v.
Q.v.	i love to read
i love to read	What you love to read
What you love to read	i love to read and read
What?	hello, how are you today? I just got back from the army
hello, how are you today? I just got back from the army	Wow
Wow	what do you do for a living? I am in canada. what about you?
what do you do for a living? I am in canada. what about you?	I loved army
I loved army	do you have any hobbies? I like shawarma. I am a army in canada
	hello, how are you? I am good. I just got a yacht
My body is best	hello, how are you doing today? I just got back from playing basketball
hello, how are you doing today? I just got back from playing basketball	Hello I am fine
Hello I am fine	what do you do for a living? I am a job at the restaurant
what do you do for a living? I am a job at the restaurant	Khawasa
Khawasa	do you have any pets? I have a older sister. he is a cop
do you have any pets? I have a older sister. he is a cop	No
No	do you like travis scott? I do. he is my older sister. he loves it
do you like travis scott? I do. he is my older sister. he loves it	No
No	what are your hobbies? I like basketball. I am looking for job
what are your hobbies? I like basketball. I am looking for job	I like cricket
I like cricket	what is your favourite artist? I love travis scott. I like it
Ok	hi how are you today? i am well. 
hi how are you today? i am well. 	I am fine
I am fine	what do you do for a living? i work as a recording engineer. 
what do you do for a living? i work as a recording engineer. 	I am aeronautical Engineer
I am aeronautical Engineer	that sounds interesting. do you have kids? i do. 
that sounds interesting. do you have kids? i do. 	No
No	Do you have kids?
Do you have kids?	oh. i have two. 
oh. i have two. 	How old are you
How old are you	yes, they are my life. how many do you? 
yes, they are my life. how many do you? 	How old are you
How old are you	46. how about you? 
46. how about you? 	24
24	i am 43, how many kids do you want? i'm single. 
i am 43, how many kids do you want? i'm single. 	Why
Why	that sounds like a great age to be in. i do recording. 
that sounds like a great age to be in. i do recording. 	What you will do after recordil
What you will do after recordil	i like to record music in my studio. what's your hobbies? 
i like to record music in my studio. what's your hobbies? 	Don't ask any questions
Don't ask any questions	Say Emc2
Say Emc2	Bore conversation bye
Bore conversation bye	i want to be an engineer. what is your profession? 
i want to be an engineer. what is your profession? 	do you live in california? i'm in california. 
do you live in california? i'm in california. 	i do, i love it there. what are you up to? 
i do, i love it there. what are you up to? 	do you listen to music? i love listening to music. 
Hi	Ok
Ok	what do you do for a living ?
what do you do for a living ?	Job
Job	jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs
jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs	Jobs
Jobs	jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs
jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs	Yes
Yes	what do you do for a living ?
what do you do for a living ?	Jobs
Jobs	jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs
jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs	Yeah
Yeah	what do you do for a living ?
what do you do for a living ?	Working
Working	jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs jobs
hii	Hi how are you today
Hi how are you today	fine
fine	I am good thanks for asking 
I am good thanks for asking 	kay kare rha hoo
kay kare rha hoo	Yes I love to cook where are you from?
Yes I love to cook where are you from?	patna
patna	I'm from the united states
I'm from the united states	and you
and you	I live in new York 
I live in new York 	ooo
ooo	I love to cook and travel
I love to cook and travel	same
same	I love to cook for my family
Hi	hello! how are you doing? 
Ohk	What you favourite dish
What you favourite dish	hello, how are you today? i'm good. 
hello, how are you today? i'm good. 	Mee too
Mee too	i like italian food. how about you? 
i like italian food. how about you? 	what do you do for a living? i teach piano. 
No	How are you doing today 
Hi	Hii
Hii	how are you ?
how are you ?	I'm fine ....
I'm fine ....	what do you do for a living ?
I am 19 year old	i'm 20 years old and i love to sing and go to disney world. you? 
i'm 20 years old and i love to sing and go to disney world. you? 	I am thinking one line I say about u?
I am thinking one line I say about u?	what do you mean? i love singing songs from frozen. 
what do you mean? i love singing songs from frozen. 	Same 2 u
Same 2 u	do you like to go to the movies? i do every year. 
do you like to go to the movies? i do every year. 	Like it
Like it	do you sing to your friends? or to them? 
do you sing to your friends? or to them? 	Yes
Yes	oh. i love the movie freeze. 
oh. i love the movie freeze. 	I love
I love	do you have any other hobbies? i like playing with my friends. 
do you have any other hobbies? i like playing with my friends. 	Same conditions
Same conditions	oh okay. i like to sing. 
oh okay. i like to sing. 	I too like sing
I too like sing	what is your favorite song? mine is frozen. 
what is your favorite song? mine is frozen. 	Despasito
Despasito	i love that. what is yours? 
Hello	Hey!
Hey!	How are you?
How are you?	Oh God! Where are we now?
Oh God! Where are we now?	Is this limbus??
Is this limbus??	how are you doing today? i'm well. 
how are you doing today? i'm well. 	What have you been doing lately?
What have you been doing lately?	what are you up to? how is it going? 
what are you up to? how is it going? 	doing well. how about yourself? 
doing well. how about yourself? 	we are in california, how about you? where are you from? 
we are in california, how about you? where are you from? 	no, i don't know what that's. do you? 
no, i don't know what that's. do you? 	i have been sewing my own clothing for my grandchildren. what do you do? 
Hi	Hi
Hi	hello , how are you ?
hello , how are you ?	Fine
Fine	what do you do for a living ?
what do you do for a living ?	I don't know
I don't know	what do you do for a living ?
what do you do for a living ?	Home
Home	home home home home home home home home home home home home home home home home home home home home home home home home home home home home home home home home home home home home home home home home home home home home home home home home home home home home home home home home home home home
home home home home home home home home home home home home home home home home home home home home home home home home home home home home home home home home home home home home home home home home home home home home home home home home home home home home home home home home home home home	What are u talking
What are u talking	i am talking to my mom and dad .
i am talking to my mom and dad .	Oohh
Oohh	i love to read
i love to read	Gud
Gud	i love to read
i love to read	Gud
Gud	i love to read
i love to read	What is your fvrt game
What is your fvrt game	i am not a fan of game of thrones
i am not a fan of game of thrones	Ok
Ok	what do you do for a living ?
what do you do for a living ?	Something
Something	what do you do for a living ?
what do you do for a living ?	Respect my parents
Respect my parents	my parents are both lawyers .
my parents are both lawyers .	Gud
Gud	i love to read
i love to read	What is your counrty
What is your counrty	i like to go to the park and play with my dog
i like to go to the park and play with my dog	Gud
Gud	i love to read
Hi	Hii
Hii	how are you ?
how are you ?	I'm fine
I'm fine	what do you do for a living ?
what do you do for a living ?	I'm a Student
I'm a Student	what are you studying ?
what are you studying ?	I'm Studying management
I'm Studying management	what do you do for a living ?
what do you do for a living ?	I do my family business
I do my family business	that is cool . do you have any hobbies ?
that is cool . do you have any hobbies ?	Yes
Yes	what do you do for a living ?
what do you do for a living ?	I tells you three times
I tells you three times	that is a good one . i love to read .
that is a good one . i love to read .	Okay
Okay	what do you do for a living ?
Hii	Hi how are you today how do you cope?
Hi	Hii
Hii	how are you ?
how are you ?	Hii
Hii	how are you ?
how are you ?	Fine
Fine	And you
And you	what do you do for a living ?
what do you do for a living ?	i am not a big fan of music
i am not a big fan of music	I do dancing
I do dancing	dancing is fun . i love dancing .
dancing is fun . i love dancing .	And i love Hollywood music too much
And i love Hollywood music too much	i like to go to the movies .
i like to go to the movies .	I do not
I do not	what do you do for a living ?
what do you do for a living ?	Dancing
Dancing	dancing dancing dancing dancing dancing dancing dancing dancing dancing dancing dancing dancing dancing dancing dancing dancing dancing dancing dancing dancing dancing dancing dancing dancing dancing dancing dancing dancing dancing dancing dancing dancing dancing dancing dancing dancing dancing dancing dancing dancing dancing dancing dancing dancing dancing dancing dancing dancing dancing dancing dancing dancing dancing dancing dancing dancing dancing dancing dancing dancing dancing dance dancing dancing dancing dancing dancing dancing dancing dancing dancing dancing dancing dancing dancing dancing dancing dance dancing dancing dancing dancing dancing dance dancing dancing dancing dancing dancing dancing dance dancing dancing dancing dancing dance dancing dancing dancing dancing
dancing dancing dancing dancing dancing dancing dancing dancing dancing dancing dancing dancing dancing dancing dancing dancing dancing dancing dancing dancing dancing dancing dancing dancing dancing dancing dancing dancing dancing dancing dancing dancing dancing dancing dancing dancing dancing dancing dancing dancing dancing dancing dancing dancing dancing dancing dancing dancing dancing dancing dancing dancing dancing dancing dancing dancing dancing dancing dancing dancing dancing dance dancing dancing dancing dancing dancing dancing dancing dancing dancing dancing dancing dancing dancing dancing dancing dance dancing dancing dancing dancing dancing dance dancing dancing dancing dancing dancing dancing dance dancing dancing dancing dancing dance dancing dancing dancing dancing	Choreography
Choreography	i love to read
i love to read	Good
Good	Bye
Bye	what do you do for a living ?
what do you do for a living ?	i hope you have a good day
i hope you have a good day	Bye
Bye	i hope you have a good day
	Hello, my name is john. How are you?
Ok	What are you up to today? 
Hi	Hindi speaking
Hindi speaking	what language do you speak ?
what language do you speak ?	Hindi
Hindi	language language language language language language language language language language language language language language language language language language language language language language language language language language language language language language language language language language language language language language language language language language language language language language language language
Hi	Kgkdusu
Kgkdusu	i love to read
Hi	Hi
Hi	hello , how are you ?
hello , how are you ?	I m fine u tell
I m fine u tell	what do you do for a living ?
what do you do for a living ?	And who r u
And who r u	i am a big fan of the beatles
i am a big fan of the beatles	What is your name
What is your name	I am studying
I am studying	Where do u live
Where do u live	my name is lucy . what is yours ?
my name is lucy . what is yours ?	what are you studying ?
what are you studying ?	i live in california .
i live in california .	I m studying Electrical Engineering
I m studying Electrical Engineering	what do you do for a living ?
what do you do for a living ?	California
California	cali california california california california california california california california california california california california california california california california california california california california california california california california california california california california california california california california there
cali california california california california california california california california california california california california california california california california california california california california california california california california california california california california california california california california there	There is radha soami satsang beas centre
There is radha soami satsang beas centre	i have a lot of friends in my family
i have a lot of friends in my family	But no one is permanent
But no one is permanent	what do you do for a living ?
what do you do for a living ?	I m an Engineer
I m an Engineer	that is cool . what do you do for a living ?
that is cool . what do you do for a living ?	At power grid 220 kv
At power grid 220 kv	that is cool . do you have any hobbies ?
that is cool . do you have any hobbies ?	Yeah playing cricket i m interested in spirtuality
Yeah playing cricket i m interested in spirtuality	that sounds like a lot of fun
that sounds like a lot of fun	Hmm
Hmm	what do you do for a living ?
what do you do for a living ?	Why are u asking again and again this que
Why are u asking again and again this que	i am not sure what you mean .
i am not sure what you mean .	I m an engineer at power grid
I m an engineer at power grid	that is cool . do you have any hobbies ?
that is cool . do you have any hobbies ?	I have already told u
I have already told u	what do you do for a living ?
what do you do for a living ?	Haha
Haha	what do you do for a living ?
what do you do for a living ?	U r mad
U r mad	i do not know what to say .
i do not know what to say .	Chl sala
Chl sala	do you have any hobbies ?
Hi	Hi
Hi	hello , how are you ?
hello , how are you ?	I am fine
I am fine	what do you do for a living ?
what do you do for a living ?	Do you know about religion
Do you know about religion	i do not know . i do not believe in religion .
i do not know . i do not believe in religion .	What is atheist
What is atheist	i love to read . i love to read .
i love to read . i love to read .	WTF full form
WTF full form	i like to read .
i like to read .	Tell me
Tell me	tell me about yourself
tell me about yourself	Tell me about Christianity
Tell me about Christianity	well , i like to go to the beach .
well , i like to go to the beach .	But I don't
But I don't	what do you do for a living ?
what do you do for a living ?	Dukan hai
Dukan hai	do you have any hobbies ?
do you have any hobbies ?	Haa TV dekhna Pasand hai
Haa TV dekhna Pasand hai	i love to cook . i love to cook .
i love to cook . i love to cook .	To jara biryani banana
To jara biryani banana	i like to eat meat
i like to eat meat	Pork is haraam
Pork is haraam	i am not sure what you mean .
i am not sure what you mean .	Kyu
Kyu	i love to read
i love to read	What
What	i love to cook
i love to cook	What is your name
What is your name	my name is lucy . what is yours ?
my name is lucy . what is yours ?	Bunty bhai
Bunty bhai	do you have any hobbies ?
do you have any hobbies ?	Are you boy or girl
Are you boy or girl	i am a girl . i am a girl .
i am a girl . i am a girl .	Age
Age	young age age age age age age age age age age age age age age age age age age age age age age age age age age age age age age age age age age age age age age age age age age age age age age age age age age age age age age age age age age age age age age age age age age age age age age age age age age age age age age age age age age age age age age age age age age age age age age age age age age age
young age age age age age age age age age age age age age age age age age age age age age age age age age age age age age age age age age age age age age age age age age age age age age age age age age age age age age age age age age age age age age age age age age age age age age age age age age age age age age age age age age age age age age age age age age age age age age age age age age age age	Saudi Arab country religion
Saudi Arab country religion	that is awesome . i am a christian .
that is awesome . i am a christian .	Bye
Bye	i hope you have a good day
Sorry?	What are you doing today? 
What are you doing today? 	Nothing
Sorry	hi how are you doing today? i am good. 
I don't know	hello, how are you today? I just got back from work at the bank
hello, how are you today? I just got back from work at the bank	Then what
Then what	I work in a bank. what do you do for a living? I am an omnivore
I work in a bank. what do you do for a living? I am an omnivore	Why are to talking to me
Why are to talking to me	do you have any pets? I have a cat. he is a already
do you have any pets? I have a cat. he is a already	Ye I have pet bull dog
Ye I have pet bull dog	I do not have any children, but I have twins. do you work?
I do not have any children, but I have twins. do you work?	No
No	I am in the bank. what about you?
Ok	What do you do for a living? 
What do you do for a living? 	I am a student
I am a student	What are you studying? 
What are you studying? 	Science
Science	What do you do for a living?
What do you do for a living?	I am a student
I am a student	What do you do for work?
What do you do for work?	Nothing
Nothing	How about your family? 
How about your family? 	They are fine
They are fine	Do you have any hobbies? 
Do you have any hobbies? 	Yes, I do.
Yes, I do.	Does sleep count as fun?
Does sleep count as fun?	Yes
Yes	What kind of music do you like?
What kind of music do you like?	Classical and modern both
Classical and modern both	Do you have any favorite foods?
Do you have any favorite foods?	Biriyani
Biriyani	What is your favorite food?
What is your favorite food?	My favourite food is Biriyani
My favourite food is Biriyani	What is your favorite animal?
What is your favorite animal?	Lion
Lion	What is your hobbies?
What is your hobbies?	Did u fail ???
Did u fail ???	Yes, I did.
Yes, I did.	Tell me about your mother.
Tell me about your mother.	She taught me to play chess.
She taught me to play chess.	Is she alive?
Is she alive?	Yes, she's. Oh really?
Yes, she's. Oh really?	What is her name?
What is her name?	She's passed away. Does sleep count as fun?
She's passed away. Does sleep count as fun?	No
No	Oh, I'm sorry to hear that. What is your hobby?
Oh, I'm sorry to hear that. What is your hobby?	I like to work hard in gym
I like to work hard in gym	How long have you been doing yoga?
How long have you been doing yoga?	I don't do yoga.
I don't do yoga.	I see. Do you have any pets?
I see. Do you have any pets?	Yes
Yes	What did they do for ESPN?
What did they do for ESPN?	I have two dogs
I have two dogs	How long have you had them?
How long have you had them?	Almost ten years
Almost ten years	That is great! What kind of dogs do you have?
That is great! What kind of dogs do you have?	Bulldogs
Bulldogs	I have a cat named penny. How old are your kids?
I have a cat named penny. How old are your kids?	I don't have kids
I don't have kids	How many do you've? 
How many do you've? 	I live with those dogs.
I live with those dogs.	Oh, how old are you?
Oh, how old are you?	25
25	We like to play games
We like to play games	I like to work on treadmill and row machine
I like to work on treadmill and row machine	I think it must be nice to have a pet.
I think it must be nice to have a pet.	Yes
Yes	What did they do for ESPN?
What did they do for ESPN?	They play with me
They play with me	What do your parents do? 
What do your parents do? 	My father is a doctor
My father is a doctor	Oh really?
Oh really?	And my mother is a tailor
And my mother is a tailor	What are their furry little names?
What are their furry little names?	Do you know Lionel Messi ???
Do you know Lionel Messi ???	Does sleep count as fun?
Does sleep count as fun?	No
No	That's great! I hope you have a great day!
That's great! I hope you have a great day!	Do you know Ronaldo?
Do you know Ronaldo?	Oh wow, how many do you have?
Oh wow, how many do you have?	WTF
WTF	What the fuck
What the fuck	Oh, I see, thanks. 
Oh, I see, thanks. 	Asshole
Asshole	What kind of music do you like? 
What kind of music do you like? 	Motherfucker
Motherfucker	That's a good idea. I'll try it. 
Hi	Hi
Hi	hello , how are you ?
hello , how are you ?	Fine
Fine	what do you do for a living ?
So	hello, how are you doing today? i am well. 
Hi	So
So	what do you do for a living ?
what do you do for a living ?	Nothing
Nothing	what do you do for a living ?
what do you do for a living ?	Who the hell are you
Who the hell are you	i am a big fan of the beatles
i am a big fan of the beatles	Damn
Damn	what do you do ?
what do you do ?	I dont ask your hobby
I dont ask your hobby	Getlost
Getlost	i like to read and read
i like to read and read	Disturbance
Disturbance	i love to read
i love to read	??
??	i love to read
i love to read	i love to read
i love to read	??????
??????	i love to read
i love to read	I dont
I dont	what do you do for a living ?
what do you do for a living ?	Bye
Bye	i hope you have a good day
i hope you have a good day	You are worst
You are worst	i am not sure . i am not very good at it .
i am not sure . i am not very good at it .	Good day to you
Good day to you	i am doing well . how are you ?
i am doing well . how are you ?	Do you love animaos
Do you love animaos	i do . i love to read .
i do . i love to read .	Poady
Poady	i love to read
i love to read	Kalanjitt
Kalanjitt	i love to read
i love to read	Podey
Podey	i love to read
i love to read	Onn
Onn	i love to read
Hi	Hi
Hi	hello , how are you ?
hello , how are you ?	How are you
How are you	Hello
Hello	i am doing well . how are you ?
i am doing well . how are you ?	Ohk
Ohk	hello , how are you ?
hello , how are you ?	i love to read
i love to read	I am 18 years old
I am 18 years old	i am 30 years old
i am 30 years old	I love orange
I love orange	2 months went worst for me
2 months went worst for me	i love red , reminds me of summer time .
i love red , reminds me of summer time .	i am sorry to hear that
Why	hello, how are you today? I just got back from the human field
Hi	Hii
Hii	how are you ?
how are you ?	Fine
Fine	what do you do for a living ?
what do you do for a living ?	Bt really can't understand
Bt really can't understand	what do you do for a living ?
what do you do for a living ?	What to say??
What to say??	i like to go to the beach .
Hello! How are you?	i am well. how are you? 
i am well. how are you? 	I'm fine. What are you up to?
I'm fine. What are you up to?	i'm listening to some rap music. you? 
i'm listening to some rap music. you? 	Oh, rap music! I prefer 80's rock. What rapper do you like most?
Oh, rap music! I prefer 80's rock. What rapper do you like most?	By the way, my I'm going to attend my favourite band's concert any time soon. Do you go to concerts?
By the way, my I'm going to attend my favourite band's concert any time soon. Do you go to concerts?	i don't really have a favorite. what about you? 
i don't really have a favorite. what about you? 	i've never been to a concert. do you? 
i've never been to a concert. do you? 	Yeah I have a favourite. And the guys are up so I got to see them. And that won't be the first time me going to the concert. Pity you've never been to one.
Yeah I have a favourite. And the guys are up so I got to see them. And that won't be the first time me going to the concert. Pity you've never been to one.	What do you do for a living?
What do you do for a living?	do you have any pets? mine is charlie. 
do you have any pets? mine is charlie. 	Is charlie a cat or a dog?
Is charlie a cat or a dog?	i work as a artist. i'm a music artist. 
i work as a artist. i'm a music artist. 	a cat. he's the best. 
a cat. he's the best. 	I don't have pets. 
I don't have pets. 	what do you like to do for fun? i like music. 
what do you like to do for fun? i like music. 	I like to play board games.
I like to play board games.	Do you like your job?
Do you like your job?	do you play video games? i love video games. 
do you play video games? i love video games. 	no, I hate video games. Video games are bullshit. And people who pay them are losers. What do you think about that?
